"","x"
"1","entity_id"
"2","sample_id"
"3","sample_thickness"
"4","depth_sample"
"5","mineralogy"
"6","arag_corr"
"7","d18O_measurement"
"8","d18O_precision"
"9","iso_std.x"
"10","d13C_measurement"
"11","d13C_precision"
"12","iso_std.y"
"13","interp_age"
"14","interp_age_uncert_pos"
"15","interp_age_uncert_neg"
"16","age_model_type"
"17","ann_lam_check"
"18","dep_rate_check"
"19","lin_interp_age"
"20","lin_interp_age_uncert_pos"
"21","lin_interp_age_uncert_neg"
"22","lin_reg_age"
"23","lin_reg_age_uncert_pos"
"24","lin_reg_age_uncert_neg"
"25","Bchron_age"
"26","Bchron_age_uncert_pos"
"27","Bchron_age_uncert_neg"
"28","Bacon_age"
"29","Bacon_age_uncert_pos"
"30","Bacon_age_uncert_neg"
"31","OxCal_age"
"32","OxCal_age_uncert_pos"
"33","OxCal_age_uncert_neg"
"34","copRa_age"
"35","copRa_age_uncert_pos"
"36","copRa_age_uncert_neg"
"37","StalAge_age"
"38","StalAge_age_uncert_pos"
"39","StalAge_age_uncert_neg"
"40","gap"
"41","hiatus"
